                 Time	               V(DAC)	               V(VIN)
  0.00174010266424927	    0.937473297119141	     1.00193297863007
  0.00174018611075196	    0.937473058700562	     1.00190055370331
  0.00174035300375733	    0.937472760677338	     1.00183641910553
  0.00174058081270966	    0.937472224235535	     1.00175082683563
  0.00174092909457001	    0.937471449375153	     1.00162374973297
  0.00174149948717865	    0.937470197677612	     1.00142598152161
  0.00174264027239594	    0.937467992305756	      1.0010689496994
  0.00174492184283051	    0.937464475631714	     1.00050902366638
  0.00174948498369965	    0.937461316585541	     1.00000524520874
  0.00175861126543793	    0.937470436096191	     1.00146341323853
         0.0017600095	    0.937473595142365	     1.00197696685791
  0.00176001000000001	    0.940376698970795	     1.00197720527649
  0.00176001100005419	    0.951158344745636	     1.00197756290436
         0.0017600119	    0.970037877559662	     1.00197792053223
         0.0017600122	    0.979138970375061	     1.00197803974152
         0.0017600123	    0.982518494129181	     1.00197815895081
          0.001760013	     1.01189970970154	     1.00197839736938
         0.0017600131	     1.01692843437195	     1.00197839736938
         0.0017600132	     1.02218723297119	     1.00197851657867
         0.0017600137	     1.05089724063873	     1.00197863578796
         0.0017600138	     1.05710256099701	     1.00197875499725
  0.00176001468922679	     1.11380672454834	     1.00197911262512
  0.00176001576173787	     1.14573705196381	     1.00197947025299
  0.00176001688342278	     1.15041351318359	     1.00197994709015
  0.00176001847635691	       1.149329662323	      1.0019805431366
  0.00176002018961792	     1.14856290817261	     1.00198125839233
  0.00176002331886177	      1.1483815908432	     1.00198245048523
   0.0017600276759613	     1.14840757846832	     1.00198423862457
  0.00176003639016037	     1.14843416213989	     1.00198769569397
   0.0017600480130661	     1.14842307567596	     1.00199222564697
  0.00176007125887756	      1.1484215259552	     1.00200152397156
  0.00176011775050049	     1.14842224121094	     1.00202000141144
   0.0017601948669899	     1.14842188358307	     1.00205087661743
  0.00176028246197586	     1.14842200279236	     1.00208628177643
  0.00176042680058365	     1.14842200279236	     1.00214529037476
  0.00176058244023209	     1.14842200279236	      1.0022097826004
  0.00176087512287979	     1.14842212200165	     1.00233364105225
  0.00176116422924881	     1.14842224121094	     1.00245928764343
  0.00176174244198685	     1.14842236042023	     1.00272047519684
  0.00176289886746292	      1.1484227180481	     1.00328242778778
  0.00176521171841507	     1.14842355251312	     1.00456404685974
  0.00176706489834671	     1.14842426776886	     1.00574278831482
  0.00176865543637161	     1.14842510223389	     1.00686192512512
  0.00177021984372025	     1.14842593669891	     1.00805938243866
         0.0017710715	     1.14842641353607	     1.00875163078308
         0.0017711329	     1.14842653274536	     1.00880253314972
          0.001771133	     1.14842641353607	     1.00880265235901
         0.0017711331	     1.14842641353607	      1.0088027715683
         0.0017711726	     1.14842641353607	     1.00883567333221
